"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,1.0,17823.203614509304,44465.29423452429,170.769671994053,875.3814161981479,50.45014547376335,4.174741676805545,24.4552381300567,8.639516607530698
2.0,1.0,17987.632560433427,40466.907634859024,157.6486257624501,888.356157127174,52.50890773910521,4.477368913901256,27.270633313857402,7.855044785386164
3.0,1.0,18145.098483388305,36458.085636490025,162.77925206715506,858.186168298095,51.18585611405938,4.2318182849495685,25.367665457204573,8.216500703266247
4.0,1.0,18318.526052242192,32458.01980805579,160.5513468186777,917.4536876774198,51.40748408435788,4.782384926706849,31.563464229103243,8.166700098752402
5.0,1.0,18472.555016612627,28454.45821870621,156.432194791542,746.9267062532073,50.64276035056795,3.9769551149907243,22.933968951207195,8.329109600350318
6.0,1.0,18637.57173536709,24452.739574163057,166.30214244575455,1080.6071249454978,51.27496236061571,5.380867509830196,37.63075948405311,8.119059371857526
7.0,1.0,18804.768628481197,20459.131152209597,164.69878900604292,1041.9792993597105,50.99938673946014,5.292646211333712,37.58328653093562,8.15058848584006
8.0,1.0,18960.104183249383,16451.492780549837,163.5025663463859,978.1645336626784,50.9714287157726,5.117166928204236,35.73297166192538,8.305733010253066
9.0,1.0,19135.070050995982,12468.950233428219,158.53078505762377,882.0528946633026,50.448086607021104,5.020084974982985,35.47562136254272,8.493008236360513
11.0,1.0,19299.113089555045,8480.879484954476,161.39915230488975,838.3170714105695,51.19258324423943,4.992758678843514,34.21774439912926,9.070352790384366
12.0,1.0,19453.778398324706,4473.17829132408,165.67181477990076,763.8517600539652,51.21748326559763,4.131843560997178,24.23395900483823,9.11247148196722
13.0,1.0,21835.455130811828,40615.77148146174,159.1369559133747,840.409530920018,52.06238570475165,4.177885842036829,23.75502942859905,8.015870557051484
14.0,1.0,21843.540823156196,44630.603078803266,159.26679185147623,894.4165252170303,52.30364158715408,4.793219862709042,31.45065796782356,8.238319515180716
15.0,1.0,22176.02462411833,36620.635859791146,152.7928636980603,758.9151012937232,51.61794366493487,4.191512078345524,25.550595289479766,8.162263393018792
16.0,1.0,22330.996083767273,32617.68656995865,156.49416488783655,868.9592245034747,51.52594853521987,4.634061280388209,29.14939688338086,8.048234326018672
17.0,1.0,22493.860410390444,28625.083643646274,157.2493208245053,927.7169998386919,52.371122967712886,5.388387902955681,39.57997520371146,8.40151737914516
18.0,1.0,22666.8584162504,24628.073410774643,162.31019073996043,914.3561464250225,50.164994695979075,4.780826127725329,31.670783679124504,8.326195915488649
19.0,1.0,22807.70118957874,20618.874888045568,171.13964004965152,1054.7230203634836,50.122488655461595,4.519373883773969,27.59629918281352,7.83832930523584
20.0,1.0,22988.789250590766,16615.705693972817,163.34889480106594,1025.2872004763385,51.428080209232604,5.407374805664814,40.310888469333065,8.254832114755844
21.0,1.0,23155.63780720421,12631.158340018132,156.21365554292953,882.5314635716923,51.852949651907366,5.067950801348087,35.47868441826733,8.341557538557316
22.0,1.0,23320.630957237092,8647.501308225648,167.0602366878164,990.959761150971,51.400529021130936,5.267702807590693,37.27602416097955,8.654375895892837
23.0,1.0,23489.31209771475,4654.204840004595,166.74904830549784,811.7466182219104,51.077662522582486,4.457760959371545,28.2464850573603,9.161016513748406
24.0,1.0,25877.522847403165,44797.41944222414,155.773260096782,859.6448508596785,52.307915074251426,4.463894425981723,27.297218747757288,7.897939740254373
25.0,1.0,26028.217146250838,40796.96934933783,156.6852026196894,868.3418706884195,51.364944476658984,4.405128273042136,27.507800682324184,7.85188136279142
26.0,1.0,26204.145782096857,36791.40357407096,154.55162927027686,794.6850349349884,50.90185267222169,4.112942432406542,24.20094605825389,7.941691956877339
27.0,1.0,26361.04150345399,32789.194463207554,155.28481655872278,840.9317469527655,50.75222334961335,4.695634561576163,30.75566220344772,8.217660841585968
28.0,1.0,26526.37406529456,28793.24856858895,155.20480070828825,966.0171002411918,51.76765578246727,5.262462914215426,36.90769697882562,7.8579142327419556
29.0,1.0,26699.47261468239,24777.377831741564,146.02003090124467,730.0499933164751,53.7461523441755,5.229605953585808,39.31958858386491,8.890557595822287
30.0,1.0,26849.01201129964,20781.485273619423,158.5291129091683,863.0348188126869,50.86091981733612,4.458662132620964,27.71278412956768,8.080987503152821
31.0,1.0,27011.120269149764,16789.110084055395,156.55082007132447,936.1247936770496,51.904235871524,5.070152540988072,34.99009473509589,7.990931907363634
32.0,1.0,27177.442624911986,12797.666475624383,163.52182491706733,722.5675023322201,49.542636996727786,3.894119942307585,21.988111234295292,9.029701408686927
33.0,1.0,27343.194395163326,8807.434601630055,158.22324282854325,820.4098883233951,50.83974285040406,4.5620284893132395,28.815835958234526,8.485046829879378
34.0,1.0,27523.818884169403,4809.313184065883,158.53817049443626,787.9995238538659,50.71080942458332,4.076940379634474,23.69522878148208,8.264395588048028
35.0,1.0,29885.116735633776,44948.06485966783,154.44253727395488,1021.4615245718704,52.70109047157311,4.867605702508575,30.636029860883674,7.153596593989555
36.0,1.0,30048.257275864584,40964.02054349153,150.64108010435024,866.977314199249,50.96363334342115,4.446914893438345,28.005190761964155,7.448355023378336
37.0,1.0,30221.16601977562,36947.888523266825,147.56344034966145,755.5899977441194,49.81307422953738,3.951390655387308,22.625733946283244,7.555578338805146
38.0,1.0,30380.459803993537,32942.06720173219,152.86159992719695,801.5299431315811,50.25459814899442,4.382300533803347,27.37300717417482,8.019452939807351
39.0,1.0,30544.515787840835,28948.93416094505,154.53742478601598,963.1654350622152,51.104075388906416,4.871389573061899,31.560747267289674,7.493033550064288
40.0,1.0,30703.282572822955,24955.712854490957,156.1913027471325,1147.9143063706586,51.66167606443645,5.605459065153224,39.937447133662936,7.183854033512284
41.0,1.0,30901.960838846207,20948.997018572187,165.11817219775008,711.4894882955966,49.00288720994737,3.1573953543065407,15.23145157334001,8.375114041094932
42.0,1.0,31040.88870450836,16941.47178664383,156.16651377001153,1027.2635369536358,51.634544372661615,5.413446234290338,39.19790210194881,7.683090145593832
43.0,1.0,31204.46720913986,12951.996928374805,158.61923116686876,1003.480420487441,52.2735890157605,5.093489769424567,34.372581496745234,7.742967059920862
44.0,1.0,31370.9168535192,8963.397877347292,154.8545784203843,795.5930573037816,50.69077936493635,4.2614546647999205,25.932455815810243,8.104074415365409
45.0,1.0,31530.22631976282,4970.585741116955,157.48225347999607,1130.5681756798379,53.63646290609169,5.894327500368631,43.77664708097278,7.5864640472280005
46.0,1.0,33889.01931440678,45119.59765950207,153.97879651148912,1024.3669219629069,51.633359220210686,5.072362668351438,33.6731634992517,7.263534404215812
47.0,1.0,34051.42191697125,41115.97330796424,150.13544996555032,930.9003811075039,51.79388116388327,4.744135670880615,30.1801966493007,7.259898838418904
48.0,1.0,34209.551978417,37100.998500724236,157.6258787256805,1100.8373109322495,51.27021342960876,5.406460895320079,37.28577697058085,7.376547919452542
49.0,1.0,34385.47821188193,33110.58980365515,156.2489005867743,934.0076158409843,49.817326508461704,4.446052873129596,27.76135435770581,7.434426570958487
50.0,1.0,34549.77721684625,29113.421911054338,152.16175622536963,979.1211044349648,51.545839430838264,5.4454291670386334,38.83976067403193,7.6887669583151315
51.0,1.0,34714.9692539565,25119.782444688295,153.60347320552233,1070.971785313894,52.118381163882546,5.5242757137986,38.84653400292892,7.330534622809711
52.0,1.0,34876.48477523012,21102.815540517044,149.8537548308435,964.4309401668472,52.41278965733997,4.962284533650376,32.346861527644194,7.215235879260714
53.0,1.0,35040.63713844924,17108.1420232301,156.92435109809674,1010.2153057204043,52.046103022763425,4.9898656647280974,32.91052540470474,7.490300303317719
54.0,1.0,35208.74899070362,13117.761867344745,156.59083108095342,918.0789799712741,51.728449970248654,4.880790904944181,32.054781960698826,7.943814491845222
55.0,1.0,35370.42036407064,9129.097656338292,156.35308053828413,985.4467841166556,52.444402232311354,5.143162647862078,35.366924588388414,7.722876010414362
56.0,1.0,35537.0733697924,5127.147325889407,158.57679270601145,939.1405037113624,53.12850757837018,4.820438129964779,30.7337186614283,7.902768411549867
57.0,1.0,37887.754684096835,45274.413451979584,152.19690165605817,923.225157247517,53.51993859196192,5.0277624538299515,33.40081283900739,7.696457708976339
58.0,1.0,38050.53666178057,41268.57135237736,155.69005297421194,1049.2820542229858,51.65670051911959,4.8946875304512325,30.462401344119936,7.114629406771661
59.0,1.0,38213.08994249766,37261.524744666785,153.07080318566602,1100.5967170361002,51.846172199463574,5.259595613017095,35.29804449760908,6.946013517303862
60.0,1.0,38376.775776264556,33266.586085926065,155.58781629952367,980.6252738518947,50.37443057552347,4.562275733739046,27.819504378581534,7.215264882789175
61.0,1.0,38535.079305141386,29264.07435348203,156.0101925804252,1107.7189130316685,51.646212318034216,5.036318236543241,32.52048601700353,6.951095547232882
62.0,1.0,38702.203441817604,25270.5144472355,153.94561043752086,1017.56930976928,52.50850271047532,4.979197170938136,32.45590627229235,7.225910194521307
63.0,1.0,38878.020303622216,21277.115661941207,152.64780131777812,1044.1446745591777,52.13762490089937,5.268911455433999,36.5193200552398,7.211018314806691
64.0,1.0,39041.74718317148,17271.04477453747,150.84448980057164,840.2451060555971,51.102676206956595,4.498052652403922,27.82244164972867,7.687565364045081
65.0,1.0,39198.49209835889,13269.403103666802,147.57122313343933,865.8546228556219,52.71785649683182,4.656386186833988,29.240128632259815,7.402986523376476
66.0,1.0,39362.67467359328,9287.31907611132,156.54186607326866,926.8079955349804,53.01100311230052,4.527751113685284,27.094524018022444,7.569505272464741
67.0,1.0,39521.545643676625,5296.655652064826,159.03182296003163,990.4667134178616,54.539438538834105,4.863340692785598,29.852997886763198,7.654038628158565
85.0,1.0,123764.56076628718,44153.69403164006,167.80396185785185,1544.7804204851518,59.09248900143181,6.433440200939206,44.67262767008227,6.887997041906074
86.0,1.0,123925.40801047941,40139.85158332561,169.49507578500226,1750.7713527678009,59.17812190082919,7.0595847508290985,53.47375676396988,6.69760731214855
87.0,1.0,124087.61973754481,36117.42440572343,167.79162310695796,1584.923330117751,59.677646606852726,6.292575682880234,42.19373732992935,6.659742007040906
88.0,1.0,124259.32586214453,32097.34953923694,171.6086305220705,1702.781568435948,58.240072514343424,6.8713490899119725,51.253913350538156,6.871791132268
89.0,1.0,124416.83911509726,28078.258610062978,168.19900492036822,1361.536665045629,58.5115566749604,5.946946143967738,40.215414969422426,7.296244053428037
90.0,1.0,124583.3149177348,24069.549644670507,172.16444181124706,1870.106435996504,58.8424971825018,7.316310804802747,56.043903543513935,6.657285432700968
91.0,1.0,124750.01251233292,20056.083383921676,171.55779220113308,1774.3538626525988,59.00343151989374,7.15628935502859,53.032023311681556,6.813492037164944
92.0,1.0,124914.84657416688,16026.244737503297,175.07004082028055,1784.1161811235827,58.56963174372945,6.957785272580745,51.21693296893063,6.886199755795745
94.0,1.0,125081.84708196626,12017.24019634693,173.6741079399562,1591.7032246179008,59.00958355272286,6.784513150482834,49.59417661260627,7.342761377906215
95.0,1.0,125253.00041208659,8012.479632550475,177.2136910389596,1688.2302455514396,58.10718535051888,7.317427588691421,57.15602614268285,7.595058035512709
96.0,1.0,125410.13627581323,3989.8946800857107,175.21814783638226,1460.377286554885,60.08346500108464,6.44940628256615,46.325152333644155,7.739332873464979
97.0,1.0,127729.75409700071,40283.235938480364,168.71346930106196,1512.071718332034,59.044765735838666,5.783803741122065,37.53530800499926,6.641853914050889
98.0,1.0,127743.98590981177,44318.11779930988,170.49540481866472,1676.1537245828092,59.79658656351051,6.485726321400954,44.98404029910387,6.649978615858155
99.0,1.0,128064.73779909182,36278.52316711647,169.80073477366128,1457.7395373400523,59.71273373331088,5.689608339841992,36.859887887765524,6.8391683681112045
100.0,1.0,128221.33164059353,32261.639477402252,175.53345523945038,1584.2421012893587,58.32606765534196,5.986802973556753,39.13768402639186,6.945938176285339
101.0,1.0,128393.73088458733,28248.203307491287,171.75833476462512,1674.5910368695165,59.3165303238737,6.538087230196542,47.27424213151195,6.765686835092204
102.0,1.0,128548.80706973845,24237.98848969098,177.07514358649368,1605.4682082871825,57.58890007052633,6.2274992857808895,43.62105382150707,7.133355999740082
103.0,1.0,128715.29096001112,20214.306237810782,179.02354369259,1681.3005818342988,56.807179441654604,5.161841500980549,30.04243773077466,6.306511965334817
104.0,1.0,128893.24207838852,16192.74647587394,177.19377869352562,1756.6059927772612,58.44511782902785,6.581949365504662,47.14565127152266,6.869943920415277
105.0,1.0,129053.80965876495,12184.652307623663,177.76792097300878,1643.8875503289257,59.28763530560522,6.916636549826297,52.35780369339859,7.52049992199815
106.0,1.0,129223.43234422276,8182.0435941337,178.30013765982028,1821.642533249716,58.89534535123191,6.60161510389394,47.279588379399655,6.750943246870159
107.0,1.0,129388.96022733868,4169.681195724184,175.69043873379886,1490.8683670272449,61.36450874383692,6.080495393412616,40.86666086472744,7.3688156987137985
108.0,1.0,131722.22702191822,44487.39444982031,172.62200210761705,1641.946638114687,59.776338203563824,5.59247897267811,33.981774711978844,6.3370462476216645
109.0,1.0,131882.8304910621,40471.16084764403,180.50505047621775,1688.0669954622954,58.14214925657905,5.392411019153196,31.886766960647005,6.51149523404563
110.0,1.0,132052.4355334963,36454.915237142006,170.81747359406992,1368.4113774881055,59.711863403552165,4.839580040062583,27.63222638829563,6.646717529916715
111.0,1.0,132215.20271247913,32437.14690391944,176.71026882611744,1542.675377990072,58.672457813877614,5.382325734201285,32.72519218394989,6.749052638832818
112.0,1.0,132387.81278111917,28420.81778918922,175.21169652182732,1729.9654116431855,59.61723763343502,6.466085628037034,44.99487070831362,6.758381086332688
113.0,1.0,132550.4148880832,24391.46046989083,165.99538270202888,1295.3425836631327,60.95162516797705,6.774561838006353,53.775056040331236,8.073757957412848
114.0,1.0,132701.12797710855,20381.554643655556,173.7570984120624,1512.9527117870794,59.70270160293007,5.5827112495432525,34.517458015109376,6.8118083615717255
115.0,1.0,132871.95756251607,16370.00610088872,178.29113921768877,1780.8010759362505,58.58050182206171,6.125282584785144,40.7693940269171,6.576283910820823
116.0,1.0,133044.80883517393,12360.605703390349,176.00311760946354,1271.8255387477823,58.54831406758776,4.921099252924585,28.630813374332117,7.415501308537365
117.0,1.0,133199.1488553537,8340.072080630514,175.44757733757135,1515.776406309831,58.67106407735329,5.581790311100766,34.72230078724176,6.903706421937481
118.0,1.0,133379.09089722048,4327.63374428328,175.13387850694332,1396.9380203193139,60.99366874264866,5.374641297127767,33.03030507201692,7.183575183422455
119.0,1.0,135728.1566179748,44642.66978551595,173.05437861139467,1826.56919488238,58.14379138145446,5.924497654318161,37.31286452813857,6.045318764946466
120.0,1.0,135886.89084549548,40642.275225820515,168.93689181915042,1437.890992853041,59.18791776737415,5.004761199484737,28.145565320981245,6.406673032241281
121.0,1.0,136050.02250880448,36617.799285729154,170.24112376742914,1284.7936902219567,57.80026154085023,4.621952950465112,25.251019523186763,6.776513932185183
122.0,1.0,136215.43616718185,32589.261041911723,167.0371480117323,1287.5052372940177,59.21054187701585,5.132863983557895,30.21198157481399,6.939293147775818
123.0,1.0,136378.73523040456,28581.13698001134,168.66350273836693,1575.5496594108747,58.7260869061552,5.448206464692153,32.98498546501673,6.228551788040988
124.0,1.0,136539.84719282517,24568.41957623087,171.35740205490194,1838.150891527886,60.24643353247087,6.882834469257826,48.51175980154978,6.452323060829064
125.0,1.0,136688.01240579557,20562.291008793753,181.46128722570896,1120.218208369003,57.35497770005382,3.3333416646120306,14.331898269281439,7.087698986910906
126.0,1.0,136876.33515474203,16524.14179979754,169.11328174261436,1616.5867253367148,59.79676218216273,6.0642358826324,39.63882102655479,6.49781505095801
