"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
2.0,1.0,18608.83602206874,44826.0125506553,129.9153727103782,1479.8704751281878,50.632474705125674,5.226764433160073,24.565685978918925,4.412189841516317
3.0,1.0,18760.61913115793,40816.130217024205,129.47048414995345,1654.216212999002,50.79383908033892,4.523899053928985,20.341063223538832,3.886870358793597
4.0,1.0,18921.60567384559,36808.49377958539,135.2224428465842,1485.5057882123308,49.10970166625105,4.552622455446846,23.751468601662488,4.417062934266687
5.0,1.0,19087.34749347262,32803.73852327675,130.6803777021971,1695.9123492998503,49.53886098688706,6.555473318748818,34.16597875052829,4.440191632988295
6.0,1.0,19241.039888484527,28792.91885251636,137.2224653771628,1324.734795908083,47.67344361689646,4.302067740916392,21.24039433028827,4.768889196480392
7.0,1.0,19410.631540277376,24804.79350664329,130.26575939215746,1763.2021725944876,49.61511901442095,7.856943666821108,47.58134585894037,4.69810281212992
8.0,1.0,19566.793494335885,20817.285978226006,140.260674312926,1880.3758896379172,48.305708894478684,6.87628781553718,41.834889641082725,4.663555483845896
9.0,1.0,19733.52451899774,16804.469950725765,132.70256219237186,1682.4898034783423,48.7132794972422,5.687855761306389,29.631304989021288,4.292712894282754
11.0,1.0,19894.949615810714,12813.396062442927,131.66699122225654,1592.4616085893344,48.13338892660034,4.578781101687168,24.057773983050424,4.084175323744328
12.0,1.0,20059.80533061751,8830.571573378458,131.00258088306109,1573.9536175702717,48.916243789262055,5.651108262865193,29.264875786613324,4.407969261614924
13.0,1.0,20217.402778176587,4822.938551589489,138.1127194273305,1419.8520183416504,47.940400170441194,4.703981195136634,24.195646877454852,4.737097550707904
16.0,1.0,22614.379154665672,40964.01715575619,127.89175108780078,1369.463759900001,50.91167962558559,5.555006278884493,27.210185964162562,4.671505172559013
17.0,1.0,22627.607660574493,44989.59884711936,135.64988728815092,1608.7428163947855,50.01918474834471,5.195791235714338,26.62314708297973,4.404644373027692
