"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
26.0,1.0,23893.173303549407,8683.38667876878,163.1786855743509,8145.822051274121,193.32488533511076,34.7343448358486,285.82116264481147,5.492657308234251
27.0,1.0,24050.821602528165,4683.870062471738,159.05454796005154,7083.363532481351,192.5132444731259,36.64245894453094,294.8119002554122,6.2679794785192815
28.0,1.0,26461.073670054488,45011.93897011106,158.97107075486576,7747.395340558064,201.7398511475757,31.11453943085637,245.10282455407096,4.978815007359096
29.0,1.0,26628.451637156835,40975.64826773997,154.5327851585703,7430.853811180504,201.7546886681736,27.47940431144737,212.10657993672257,4.421295384467001
30.0,1.0,26788.058770358613,36963.41867053668,155.61908248236975,7052.31440598015,195.78513325404393,22.753442961865268,164.0749665209024,4.032051834879098
31.0,1.0,26956.59721002256,32941.750198354064,149.37038867895225,6565.349514527091,194.66726956466314,24.62995249676627,178.9466856027091,4.254879720836656
32.0,1.0,27109.5227965211,28929.643735554782,152.84485689757983,8287.77442047881,193.4261810545652,23.843638258787703,186.09664478821347,3.5104336033326695
33.0,1.0,27295.05924059529,24906.560930214455,140.8584108082498,5801.462120514759,209.51770270471334,36.80545761497475,416.4471602260627,6.041884898792153
34.0,1.0,27437.834021663228,20887.132009458765,150.72063259623795,6847.369878268077,194.88347460590154,24.236541099381117,181.1798368195889,4.110194215200358
35.0,1.0,27604.743307913377,16871.037286761195,151.57677381695524,8212.81782963203,198.0863594138351,28.889069918295846,243.40785218735616,4.060393649838676
36.0,1.0,27770.147604838265,12861.910050402486,147.51131990190132,6102.008806541012,189.45435379091964,21.4802292559136,155.12477729447227,3.9897332957329334
37.0,1.0,27935.094898830663,8848.29829221716,151.97807231386088,7180.717778623585,192.1995377012108,23.86551752779827,192.72642582269762,3.949313677426847
38.0,1.0,28101.88637487638,4839.243059609135,147.62111040896977,6864.013516380616,194.47210768186667,25.470127158596735,188.9083135545678,4.111377538167606
40.0,1.0,30514.136231103017,45158.22768435815,148.18440689432435,7956.338032412811,203.53679927225764,46.09726936875761,415.36901249062396,6.042011883619019
41.0,1.0,30664.35828246846,41158.56907149752,158.59524944350375,6822.972724535385,189.60406294192026,28.476435582507786,213.610770885665,5.169513727793799
42.0,1.0,30834.697633188483,37116.28533516225,144.19537559926195,6115.385480809406,194.81178213842944,36.50344120702802,303.1984956575753,5.963196330637706
43.0,1.0,30995.372444144356,33102.924285900044,157.61540309451158,6270.198127621219,185.1214707213549,27.786659456253492,214.5120582989042,5.412692124347832
44.0,1.0,31156.838072548293,29084.885640491862,140.68576849171265,7625.26362557921,201.46393939340592,41.694012110657766,333.12115494473755,5.20145366124729
45.0,1.0,31312.651575119435,25077.620597849047,148.89281892348248,8579.249131830893,196.59761989708417,35.40387978762903,289.5821697828796,4.481705411703431
46.0,1.0,31503.962710596013,21040.51493784283,150.99692004319837,5972.345209533438,188.508778698069,30.075465564020778,235.08887483318173,5.600734444567259
47.0,1.0,31641.513138257294,17037.34104758807,146.27819737057456,7580.257248258807,195.40533694490026,35.117136007100726,299.4919609639148,4.833818121303488
48.0,1.0,31810.543847982604,13018.52631923598,141.264384226442,7845.179007705153,199.29049003506384,42.05382009303218,361.24784416548084,5.141992492614076
49.0,1.0,31968.900504261892,9017.401422622232,151.41569924229054,6690.8515339415135,187.94858626003708,28.999010765590118,234.87217980123606,4.907764047097818
50.0,1.0,32134.059231270025,4997.172344195026,148.89451087592425,9554.010458955518,200.8193352159249,36.823416452981455,330.6165322391069,4.194175918916931
51.0,1.0,34523.51619899945,45334.57461941361,151.83547909832663,7798.59252533559,193.95477843887656,37.469371179028464,324.2818075416432,5.34504355125412
52.0,1.0,34693.674058029945,41307.36586975449,140.0782941681383,6973.240483142428,199.29384413563685,40.08104860673398,324.55415602288156,5.420270903210194
53.0,1.0,34846.78404672453,37288.72912306175,150.33140208920264,7575.084643172107,189.83235749133166,35.21243835981822,278.5531755582245,5.102888068166601
54.0,1.0,35023.68092715728,33270.49190788354,138.38764862439712,6378.481904594217,196.19863643928133,37.327417911865545,288.87496562047374,5.408327102608162
55.0,1.0,35179.09371153704,29256.625288476465,151.52265993975536,7303.943016875578,190.38181096176538,34.68606567231069,274.02636890546114,5.289013265901947
56.0,1.0,35346.37235485643,25235.775880496556,138.82861461872602,8006.494446302219,201.64788618257714,45.826064671021555,374.21654781098414,5.273452271988116
57.0,1.0,35505.11097861544,21208.724501692857,149.2811314740383,7567.15066253908,192.3468368728594,35.67107692687863,292.3092094799587,5.098983748279953
58.0,1.0,35667.48708298403,17199.404334365867,139.26626729659313,8038.464850870073,199.7458189506458,45.12575359737339,381.6133946031972,5.211642967474047
59.0,1.0,35826.2472448211,13190.080857043007,147.29938104326794,6803.31136289206,191.02003255588002,30.43828899858346,240.1116200695998,4.786484659847771
60.0,1.0,35993.889999460735,9176.89558142801,143.5892424736675,7311.974502033572,197.01798406420374,34.14896874820867,285.4627596025271,4.713426138479128
61.0,1.0,36153.40199725947,5166.973933352617,145.74407966804708,7240.031147395869,194.17588579903523,33.212200003549384,267.5029870049998,4.774338912049507
62.0,1.0,38541.91911715198,45512.00853070162,145.53196337401553,7569.773332783139,211.36555702316454,48.25276421004371,495.490238975609,6.3866973153721425
63.0,1.0,38700.34789110612,41468.94556535172,150.99520722429588,8040.459167250364,194.77347956325102,39.00514088869879,320.2268901039612,5.326359205025266
64.0,1.0,38867.61550079206,37440.15679794876,135.88245914801143,7931.431838487587,205.98881291783675,47.037028259897134,385.5568898176043,5.230676851743002
65.0,1.0,39023.83512664532,33442.16711773519,146.85709730222567,7257.6666220674715,195.71701673483446,34.475112376215534,268.3494167595682,4.991022449935678
66.0,1.0,39185.92578532228,29412.857719083902,134.46118639287883,7696.90822437541,206.70018592854538,40.297737097949636,305.42657383971147,4.592496985212999
67.0,1.0,39349.16387844821,25405.503506683544,144.94050432077117,7744.122650376426,198.00025736889995,34.88763471382421,261.2534219466089,4.631111208577719
68.0,1.0,39521.28600337215,21380.714941995404,137.12595268613947,8008.3700615465295,205.80637351902067,44.17862405082402,352.1503790433516,4.982315420058393
69.0,1.0,39674.51619902529,17360.043602020894,142.5511261838124,6707.5431516308045,194.91666012207227,32.518010259619786,250.83135198662708,4.83098022126624
70.0,1.0,39841.17853866914,13352.43168565981,136.74932854692722,6484.5517287328,203.02728754636786,34.86214559532471,262.46646375460176,4.902421822670615
71.0,1.0,39995.57794569994,9346.652111899504,140.08160637516792,7186.361530705959,199.6403885642041,33.022416822864535,264.9180528523812,4.445097652498745
72.0,1.0,40162.68381448529,5331.736736779565,144.2485435732827,7203.684879586863,201.2159774394504,27.43958080199382,205.8271455365521,4.009551269969254
92.0,1.0,120215.13637233706,44417.796552593776,154.87538302941212,8746.673880003136,184.85595316880654,35.75824942663459,325.5916763265296,4.778175945221109
93.0,1.0,120376.09338081784,40380.99214180605,157.74142975020376,8935.754064517814,187.18894506930968,44.01919472629299,436.93093560766664,5.839944651038698
94.0,1.0,120542.42555087924,36342.721862697654,155.78421740596806,8252.542756283194,183.0916967688009,33.744497307793814,301.09669050392614,4.8494289890141316
95.0,1.0,120717.16385262071,32303.70446970855,155.77189844688033,9328.452749793307,185.00471039735936,39.05219695481087,396.35914444979755,4.913475959401544
96.0,1.0,120870.69701022765,28258.56099356866,156.89833977897686,7507.072753214697,178.635383688025,31.109023433626987,284.3028570742936,5.002870217138273
97.0,1.0,121041.2648247153,24229.74028554792,154.52737220078322,9933.914674076765,187.30672693824235,42.28241014710825,465.8321333954954,4.89505443784965
98.0,1.0,121197.95682143403,20198.192863904187,154.74357710771883,9581.185568330466,184.95006380337318,44.4572105402766,491.5624044632564,5.314735448702701
99.0,1.0,121371.6138420857,16152.513856591217,159.20289124789974,8980.754444303315,181.78243489261843,45.054383326042924,511.9530104617671,6.042888401255298
101.0,1.0,121549.3640792191,12128.80028102992,156.1623244357445,8092.6303591364685,183.18829415791947,40.896872921052584,457.27021198151465,5.889414776320803
102.0,1.0,121711.07691372454,8102.835838356133,155.10713794673757,8642.780741047145,183.33378774764404,41.4295209519604,470.961699985776,5.5249244852502235
103.0,1.0,121876.28792607364,4060.498114261239,153.99451608690399,7197.727417316871,183.91807064104344,36.01217335925099,392.6801353469611,5.7162216343518475
106.0,1.0,124205.82695690062,40528.32197774394,156.08813027660491,8319.141428737354,188.98255850138935,36.932436037657496,369.1554504546839,5.229633445974595
107.0,1.0,124219.41204911523,44585.53682116087,154.84737529116234,9195.808835836902,191.9859303922763,39.69425630891857,405.4717551224366,4.996788753640474
109.0,1.0,124538.68473987709,36503.53881046553,157.79818089513648,7727.499500476241,187.63401866777662,35.40986548160899,352.15852241204186,5.513113462472245
110.0,1.0,124698.23417031877,32466.83310706186,158.616501541717,7775.604397949866,184.63970246910645,35.964079457889994,360.8420143442996,5.611769460106086
111.0,1.0,124871.9286693598,28433.886867536963,156.55672830875946,8946.634858042326,189.900066581087,40.78852823084746,445.39067126186364,5.365444094023592
112.0,1.0,125036.48950035035,24403.864581008587,161.10092883806064,8120.455748053861,177.0980237617796,37.46648786286277,407.20933835373637,5.753561484782052
113.0,1.0,125193.30744204838,20359.96789357395,159.36402827315914,6482.709877464644,174.52712735737776,29.4447648890428,277.1897974638983,5.631336098681881
114.0,1.0,125375.00285288763,16320.894399140885,158.98983015519428,8399.483844632074,189.52806354004005,38.64858228772412,408.5398091208032,5.588262727800617
115.0,1.0,125539.5431757753,12292.394989855176,156.10528122581124,8107.903845588864,193.28399602683064,41.7529170158805,483.9671576111903,5.986651184583507
